lat,long,temp,humidity,wind,cloud,weather,pressure,sea level,forest,river,class
27.2914,94.1222,24.6,94,0.57,100,Rain,1003,94.33,87.89888889,2.459,1
25.7354,82.4309,26.56,96,1.09,100,Rain,1002,90.14,90.75888889,1.652,1
26.0513,94.7655,20.46,93,1.01,90,Clouds,1007,2076.8,97.56444444,2.171,1
31.3414,76.6285,20.03,93,1.6,97,Rain,1012,484,78.95222222,14.525,1
17.9,83.3588,25.11,87,3.56,100,Rain,999,30.5,87.16555556,2.166,1
21.5427,87.4662,26.44,92,4.1,40,Thunderstorm,1005,-5.72,42.3265,1.399,1
23.4991,91.5736,28.69,83,3.22,94,Clouds,1006,49,85.16222222,3.355,1
27.3531,94.3944,26.36,92,1.58,100,Rain,1000,92.75,42.6598,4.012,1
20.2969,74.748,23.78,90,3.97,99,Clouds,1005,464.02,7.435555556,23.983,1
11.4575,76.0842,23.26,96,1.04,100,Rain,1011,742.92,93.03333333,2.599,1
19.1145,83.4825,25.33,88,1.53,100,Clouds,1000,290.59,95.92777778,3.049,1
25.3928,74.3521,26.79,84,4.19,100,Rain,1006,483.22,0,5.076,1
24.1511,77.3956,24.14,99,0.71,99,Rain,1005,524.75,94.02777778,2.245,1
27.0678,94.2459,21.27,88,0.81,100,Rain,1015,83.26,55.69754,10.7,1
10.8488,78.8554,24.93,93,3.95,100,Clouds,1012,54.95,70.17111111,4.953,1
21.3074,85.4517,27.76,86,1.11,100,Clouds,1001,330.04,90.27333333,3.227,1
27.3406,94.7779,24.24,92,0.77,65,Rain,1007,98.41,81.2365,2.468,1
20.3337,75.2676,28.21,55,1.68,100,Clouds,1009,754.33,79.77555556,1.887,1
27.9475,95.3099,25.52,91,1.24,95,Clouds,1005,147.4,83.654265,19.689,1
27.5459,80.538,29.05,91,0.71,96,Rain,999,141.54,93.07555556,4.15,1
24.7095,77.4698,25.26,94,2.72,35,Clouds,1001,494.71,92.30444444,2.037,1
27.8486,95.0377,25.59,94,1.01,98,Rain,1009,377.86,96.56666667,2.399,1
17.3444,79.2266,25.97,89,1.54,49,Clouds,1006,265.29,43.63333333,3.41,1
9.3497,77.3956,22.77,98,2.84,100,Rain,1011,199.69,89.28333333,9.163,1
30.0132,80.0555,1.81,58,1.8,0,Clear,1018,1435.91,95.09777778,2.259,1
21.6184,85.5114,25.26,90,3.61,100,Rain,1002,674.86,84.74111111,1.679,1
18.202,73.2139,28.91,71,0.53,100,Clouds,1001,127.44,92.52777778,4.405,1
27.6821,80.6839,25.64,94,1.83,100,Rain,996,135.37,91.86222222,4.041,1
27.3659,94.2212,25.78,95,1.2,100,Rain,1001,91.91,79.6987,10.193,1
33.3259,74.7233,22.11,95,0.76,100,Rain,1000,1826.14,94.43444444,1.818,1
14.5568,76.0347,21.28,94,7.55,100,Rain,1009,626.36,2.521111111,5.546,1
25.2127,86.229,27.78,92,1.03,99,Rain,1001,39.56,90.49888889,5.598,1
19.5361,84.1258,24.45,97,1.92,100,Rain,1002,469.08,87.88666667,2.169,1
22.3238,87.9734,27.71,92,5.15,100,Rain,1001,2.02,63.19,20.706,1
27.1972,82.9876,28.81,76,6.65,98,Rain,1006,84.9,89.02555556,1.619,1
23.7984,87.961,27.19,94,1.2,100,Clouds,1010,24.2,87.49333333,2.277,1
,,,,,,,,,,,
,,,,,,,,,,,
23.33,77.8,24.12,59,1.99,6,Clear,1009,442.79,83.21444444,34.13209633,0
9.85,76.97,20.85,93,0.73,90,Clouds,1010,675.11,75.53222222,2.236067977,0
26.47,80.35,33.41,71,2.52,96,Rain,1003,129.65,27.4,9.899494937,0
26.85,80.9167,13.78,62,2.37,4,Clear,1020,121.08,6.135555556,100,0
24.14,120.67,27.05,82,1,75,Rain,1006,70.84,3.398888889,46,0
27.67,85.33,19.08,88,1.5,20,Clouds,1016,1312.69,17.91888889,17,0
25.48,80.33,11.77,80,0,0,Clear,1018,121.67,31.25666667,13.03840481,0
26.52,93.97,27.12,92,0.8,100,Rain,1006,99.47,85.66777778,14.31782106,0
20.13,85.1,27.95,93,1.51,57,Clouds,1008,151.11,90.37666667,37.65634077,0
30.7,76.86,34.04,36,1.5,1,Clear,1004,340.95,42.44888889,33.30165161,0
32.37,75.52,17.88,67,1.71,0,Clear,1019,319.74,64.59,28.60069929,0
13,76.1,26.81,58,2.97,22,Clouds,1012,937.35,34.52333333,12.80624847,0
28.18,76.62,12.17,82,1.64,0,Clear,1017,243.35,12.25666667,100,0
28.3,74.95,15.8,95,1,90,Fog,1017,289.57,0.098888889,100,0
26.52,88.73,29.59,63,0,32,Clouds,1009,80,20.85777778,7.211102551,0
11.93,79.48,28.05,85,2.22,88,Rain,1006,46.21,76.41777778,8.544003745,0
22.7,71.6833,17.38,63,1.99,0,Clear,1012,65.77,1.7,11.70469991,0
32.93,75.13,15.66,65,0.19,1,Clear,1013,745.98,89.38222222,25.05992817,0
19.8,85.85,31.44,49,2.1,20,Clouds,1009,0,35.76333333,0,0
23.4333,76.2667,23.95,38,0.71,0,Clear,1016,442.47,68.28111111,30.8058436,0
9.49,76.3264,27.1,83,0.92,95,Clouds,1009,5.66,38.68666667,7.071067812,0
22.3,74.35,26.08,56,1.31,1,Clear,1013,293.08,0.032222222,100,0
25.33,83,33.06,72,1.5,40,Haze,997,77.28,19.25444444,15,0
26.29,73.03,26.83,32,0,58,Haze,1006,236.9,0.651111111,23.60084744,0
25.27,83.27,29.33,88,3.4,100,Rain,1004,73.59,87.98333333,96.83491106,0
19.6,81.67,23.12,97,2.97,100,Rain,1008,588.38,49.35888889,100,0
16.73,77.98,35.5,42,1.74,43,Clouds,1009,492.33,17.76,9.219544457,0
26.38,92.34,30.11,83,1.81,19,Clouds,1011,53.76,90.24444444,30,0
32.5667,76.1333,8.28,54,0.6,12,Clouds,1016,981.72,89.12333333,31.144823,0
18.89,81.35,26.71,71,1.34,100,Clouds,1000,360.83,86.71777778,100,0
14.68,77.6,25.24,85,4.22,100,Clouds,1008,345.87,9.114444444,8.062257748,0
30.38,76.78,22.59,68,1.5,97,Clouds,1011,272.85,55.94222222,100,0
21.15,79.1,23.01,94,3.6,75,Thunderstorm,1007,307.73,1.81,2.828427125,0
32.28,75.65,17.35,76,1.69,5,Clear,1013,331.11,50.45,24.18677324,0
18.8167,82.7167,15.88,92,1.8,0,Clear,1014,894.17,24.01444444,26.41968963,0
29.32,76.32,24.51,65,4.46,82,Clouds,1011,225.4,62.10111111,100,0
15.47,75.02,24.59,84,3.53,99,Clouds,1010,701.86,58.35777778,15.03329638,0
21.02,75.57,40.66,33,3.46,22,Clouds,1004,207.82,51.77777778,28.16025568,0
23.53,77.82,30.15,74,2.41,95,Clouds,1000,423.78,77.43444444,17.02938637,0
16.2,77.37,20.69,79,1.7,0,Clear,1013,414.42,11.24444444,11.40175425,0
29.98,75.38,29.5,36,0.76,0,Clear,1009,217.65,73.10333333,100,0
27.43,82.18,28.44,69,4.62,0,Clear,999,107.81,85.66555556,24.75883681,0
17.05,79.27,26.11,70,1.99,51,Clouds,1011,230.56,22.75444444,22.02271555,0
27.5,77.6833,9.71,93,0.86,0,Clear,1020,176.8,28.85222222,100,0
20.73,81.2,25.76,66,2.05,26,Clouds,1013,324.07,72.55777778,3.605551275,0
23.32,75.07,35.6,30,3.76,36,Rain,1008,490.36,74.65333333,29.06888371,0
