,lat,long,dt_txt,temp,humidity,wind,cloud,weather,pressure,sea level,forest,river,class
138,27.88,78.08,2020-09-23 17:30:00+05:30,32.19,66,2.1,40,Haze,999,184.66,15.52222222,7.810249676,0.0
139,24.1,91.63,2020-10-04 11:30:00+05:30,31.14,77,0.83,96,Rain,1008,28.25,86.72333333,32.20248438,0.0
140,24.57,77.72,2020-03-25 08:30:00+05:30,23.63,63,2.52,32,Clouds,1013,495.78,88.06666667,16.2788206,0.0
141,19.27,76.78,2020-03-26 14:30:00+05:30,33.57,48,1.59,21,Clouds,1009,421.01,71.66555556,100.0,0.0
142,22.6,80.38,2020-03-18 05:30:00+05:30,19.8,77,1.53,4,Clear,1014,448.31,81.82888889,3.605551275,0.0
143,26.91,70.92,2020-06-16 05:30:00+05:30,30.63,74,4.6,0,Clear,994,226.58,0.25,1.0,0.0
144,20.27,81.49,2020-09-28 02:30:00+05:30,24.12,93,1.72,85,Clouds,1007,397.38,33.94,30.88689042,0.0
145,26.06,83.19,2020-09-26 14:30:00+05:30,32.38,70,2.5,61,Clouds,1001,73.02,78.10444444,67.0298441,0.0
146,25.43,77.65,2020-02-21 05:30:00+05:30,17.61,67,3.08,65,Clouds,1012,467.98,14.87888889,16.1245155,0.0
147,24.12,120.66,2020-08-11 02:30:00+05:30,25.34,88,1.0,40,Rain,1005,50.2,11.28,29.69848481,0.0
148,16.3,80.45,2020-03-02 17:30:00+05:30,31.72,56,2.78,35,Clouds,1010,28.81,51.49333333,33.54101966,0.0
149,27.62,75.15,2020-02-03 08:30:00+05:30,6.61,78,0.0,0,Clear,1021,430.03,0.058888889,29.01723626,0.0
150,11.0,76.97,2020-10-30 05:30:00+05:30,22.86,73,0.0,40,Mist,1012,413.87,14.41777778,5.0,0.0
151,28.05,79.12,2020-11-27 05:30:00+05:30,13.24,89,2.24,0,Clear,1019,170.25,77.46888889,7.280109889,0.0
152,19.08,74.73,2020-10-15 17:30:00+05:30,25.91,82,5.66,35,Clouds,1002,641.79,45.68222222,45.607017,0.0
153,29.8,76.38,2020-09-18 11:30:00+05:30,37.04,47,2.94,3,Clear,1003,237.31,66.15888889,100.0,0.0
154,44.12,3.87,2020-11-25 23:30:00+05:30,9.27,92,2.09,100,Rain,1020,364.8,86.09,100.0,0.0
155,29.97,77.55,2020-05-17 20:30:00+05:30,29.33,40,3.19,30,Clouds,1002,277.43,42.69222222,100.0,0.0
156,22.95,79.2,2020-07-07 20:30:00+05:30,27.54,87,1.34,100,Clouds,1003,359.07,88.61888889,96.25487001,0.0
157,20.71,81.55,2020-02-24 02:30:00+05:30,20.46,90,2.29,21,Clouds,1014,322.74,71.71888889,29.73213749,0.0
158,25.67,78.47,2020-07-03 08:30:00+05:30,34.17,63,3.6,92,Clouds,998,236.29,36.17666667,4.472135955,0.0
159,12.98,77.6,2020-09-15 17:30:00+05:30,25.04,66,2.1,40,Rain,977,918.3,4.252222222,12.04159458,0.0
160,22.35,82.68,2020-07-20 05:30:00+05:30,26.7,90,2.94,100,Rain,1002,279.58,19.87111111,2.236067977,0.0
161,17.38,78.47,2020-06-22 05:30:00+05:30,26.01,76,2.1,90,Haze,1001,496.43,3.436666667,25.07987241,0.0
162,21.45,83.97,2020-02-07 02:30:00+05:30,18.53,90,2.16,100,Clouds,1015,136.0,72.13555556,0.0,0.0
163,21.8,80.18,2020-12-08 05:30:00+05:30,14.77,91,0.98,0,Clear,1017,297.7,64.62333333,3.0,0.0
164,16.83,75.7,2020-09-02 05:30:00+05:30,24.55,86,3.73,100,Clouds,1010,612.97,0.07,34.82814953,0.0
165,31.96,77.11,2020-07-02 11:30:00+05:30,21.68,72,1.76,50,Rain,1007,1206.24,85.91555556,100.0,0.0
166,24.65,77.32,2020-02-03 02:30:00+05:30,12.39,65,1.0,0,Clear,1019,476.85,74.67666667,17.0,0.0
167,26.87,95.52,2020-05-01 14:30:00+05:30,24.25,77,0.84,75,Rain,1011,1347.02,96.47444444,100.0,0.0
168,12.53,78.23,2020-04-24 14:30:00+05:30,35.73,41,1.7,73,Clouds,1008,492.02,8.385555556,5.656854249,0.0
169,25.15,82.58,2020-09-24 08:30:00+05:30,26.98,92,4.4,100,Rain,1002,81.72,72.78444444,5.385164807,0.0
170,23.18,75.77,2020-07-09 17:30:00+05:30,33.01,50,2.1,20,Rain,998,487.97,59.10444444,2.236067977,0.0
171,28.67,77.43,2020-05-14 23:30:00+05:30,26.77,75,1.85,5,Clear,1006,210.86,5.172222222,100.0,0.0
