,riverdistance,forest,sealevel,temp,humidity,wind,cloud,weather,pressure,class
270,1.8,0.651111,236.9,28.3,73,5.89,95,light rain,1008,0
271,20,39.20111,321.13,23.49,43,2.93,69,broken clouds,1014,0
272,0.02,59.10444,487.97,26.29,77,5.34,0,clear sky,1008,0
273,3.1,0.04,236.9,31.18,59,2.87,0,clear sky,1002,0
274,16,1.737778,377.03,37.43,25,3.34,2,clear sky,1010,0
275,0.3,26.62556,1587.48,14,81,1.92,100,light rain,1015,0
276,3.8,42.15889,561.54,20.55,56,0.77,2,clear sky,1010,0
277,17,66.02556,182.3,26.81,37,3.27,0,clear sky,1009,0
278,9.3,85.76,258.28,19.28,41,4.22,0,clear sky,1013,0
279,2.6,67.36889,230.66,27.98,23,2.11,41,scattered clouds,1010,0
280,1,57.65889,11.33,20.25,61,3.76,0,clear sky,1013,0
281,0.6,58.72,774.2,27.9,47,1.59,94,overcast clouds,1001,0
282,30,96.95,506.45,25.26,42,2.42,13,few clouds,1008,0
283,14,0.625556,221.97,40.81,8,2.36,0,clear sky,992,0
284,22,84.12667,53.34,23.91,41,1.56,0,clear sky,1015,0
285,5.8,58.78556,152.93,31.72,21,2.58,13,few clouds,1008,0
286,21,79.84889,997.24,16.99,82,1.03,6,clear sky,1011,0
287,0.05,85.66556,107.81,31.63,74,1.68,82,light rain,1002,0
288,0.9,74.38667,125.32,31.88,46,0.18,0,clear sky,1004,0
289,2.8,67.16889,90.46,21.33,27,1.11,0,clear sky,1011,0
290,14.4,1.46,836.06,23.94,77,7.5,97,overcast clouds,1007,0
291,30,40.03667,33.91,24.01,75,1.34,59,broken clouds,1012,0
292,1.6,85.22778,24.91,21.04,86,0.77,91,light rain,1008,0
293,4,51.63111,280.85,26.88,23,3.04,0,clear sky,1006,0
294,17,55.25778,351.31,31.1,12,2.6,0,clear sky,1013,0
295,4,11.57,454.18,29.41,63,6.75,92,overcast clouds,1008,0
296,2.4,27.40444,214.26,26.22,85,5.65,100,light rain,1004,0
297,1.1,90.82556,216.36,37.36,40,4.23,45,scattered clouds,995,0
298,25,53.99,2.27,32.13,58,8.06,48,scattered clouds,1005,0
299,1.3,74.34333,171.68,17.38,58,1.92,0,clear sky,1016,0
300,4.6,65.95333,442.45,25.15,88,6.61,84,broken clouds,999,0
301,30,78.06111,231.92,21.15,66,1.8,0,clear sky,1006,0
302,3.3,76.11889,95,28.59,62,6.19,0,clear sky,1010,0
303,0.7,62.63333,219.54,35.98,46,3.67,79,broken clouds,1005,0
304,0.3,3.567778,289.75,20.51,32,2.18,0,clear sky,1013,0
305,9,71.66556,421.01,34.9,39,3.6,100,overcast clouds,1001,0
306,30,73.55222,69.4,21.82,94,2.33,87,overcast clouds,1011,0
307,65.5,39.40889,264.07,29.62,42,3.24,37,scattered clouds,1011,0
