forest,sealevel,temp,humidity,wind,cloud,weather,pressure,class
94.54666667,274.48,25.61,88,1.47,61,Clouds,1009,1
92.32111111,814.95,24.73,96,1.05,100,Rain,1002,1
84.03888889,120.25,24.85,92,3.88,100,Rain,999,1
80.41666667,136.01,27.84,93,0.84,64,Clouds,1001,1
90.55444444,48.64,26.77,96,1.92,100,Rain,999,1
90.34555556,118.09,24.75,96,0.71,100,Rain,1005,1
92.52888889,87.87,23.37,91,1.57,39,Clouds,1007,1
21.69984,157.16,27.81,75,3.17,97,Clouds,1004,1
85.85666667,291.49,23.3,95,0.92,99,Clouds,1014,1
58.05444444,4376.91,-15.67,48,1.3,100,Clouds,1028,1
80.85666667,50.79,26.18,93,2.06,100,Clouds,1007,1
83.16444444,79.93,23.84,96,1.21,90,Rain,1006,1
52.29777778,113.53,27.64,87,6.05,100,Rain,994,1
90.75111111,87.12,30.6,85,3.19,100,Clouds,996,1
93.24666667,76.76,26.47,93,0.58,44,Clouds,1007,1
85.90111111,174.27,23.19,90,5.76,100,Rain,1005,1
93.06,141.51,21.71,93,1.16,61,Clouds,1010,1
88.62777778,85.73,28.34,94,0.98,99,Clouds,1004,1
43.12777778,630.92,22.72,100,4.96,100,Rain,998,1
21.93777778,264.19,25.28,96,4.35,100,Rain,1005,1
25.24888889,52.35,28.78,93,1.26,100,Clouds,999,1
93.83888889,339.54,25.64,93,0.84,100,Rain,1005,1
57.6525,105.81,25.53,93,0.93,95,Rain,1004,1
86.48777778,129.3,25.55,97,5.43,100,Rain,1003,1
90.41888889,15.42,26.76,95,1.45,99,Rain,1003,1
89.22888889,173.29,28.15,95,0.92,99,Clouds,1000,1
57.72222222,89.85,26.83,83,3.54,97,Clouds,1011,1
77.55888889,574.25,24.71,87,3.11,100,Rain,1006,1
93.68777778,109.27,25.27,88,1.62,100,Rain,995,1
85.67222222,1886.58,15.67,87,1.2,21,Clouds,1007,1
60.44666667,383.35,27.28,83,4.42,100,Rain,1006,1
84.85777778,516.41,25.35,83,2.49,100,Clouds,1007,1
96.44444444,968.01,20.54,98,2.64,100,Rain,1009,1
84.07111111,106.52,24.44,95,2.23,100,Clouds,1012,1
87.89888889,94.33,24.6,94,0.57,100,Rain,1003,1
90.75888889,90.14,26.56,96,1.09,100,Rain,1002,1
